ID;Code No;Name;Z;Density;Atomic wght;valel s+p,n;valel s+p,n+1;s+p, n+n+1;valel d;valel f;Energy gap 300 K;Melting point, C
184;;Sb2(SO4)3;;3.62;531.6848;;100;;;;0;
186;;Sb2S5;;4.12;403.82;;40;;;;0;
188;;AsCl3;;2.16;181.281;;26;;;;0;
190;;AsF5;;0.00771;169.914;;40;;;;0;
192;;AsI3;;4.39;455.634;;26;;;;0;
194;;As2O5;;4.09;229.841;;40;;;;0;
196;;As2S5;;0;0;;;;;40;0;
566;;SiC;;3.16;40.097;;;;;8;2.3;
185;;Sb2S3;;4.64;339.692;;28;;;;0;
187;;AsBr3;;3.54;314.649;;26;;;;0;
189;;AsF3;;2.67;131.9172;;26;;;;0;
191;;AsH3;;0.00269;77.94591;;8;;;;0;
193;;As2O3;;3.8;197.8422;;28;;;;0;
195;;As2S3;;3.43;246.036;;40;;;;0;
233;;CdBr2;;5.2;272.218;;;;;26;0;
235;;CdF2;;6.64;150.3968;;;;;26;0;
237;;CdSO4;;4.69;208.4616;;;;;42;0;
239;;CsF;;3.59;151.9034;;;;;8;0;
241;;CsNO3;;3.69;194.9099;;;;;24;0;
243;;CaC2;;2.22;64.1023;;;;;10;0;
245;;CaF2;;3.18;78.0768;;;;;16;0;
247;;CaI2;;3.96;293.888;;;;;16;0;
234;;CdCl2;;4.05;183.306;;;;;26;0;
236;;CdI2;;5.67;366.208;;;;;26;0;
238;;CsCl;;3.97;168.358;;;;;8;0;
240;;CsOH;;3.68;149.91237;;;;;8;0;
242;;CaBr2;;3.35;199.898;;;;;16;0;
244;;CaCO3;;2.93;100.089;;;;;24;0;
246;;CaH2;;1.7;42.09594;;;;;4;0;
248;;CaO;;3.35;56.0794;;;;;8;0;
249;;Ca3(PO4)2;;3.14;310.1828;;;;;64;0;
251;;CaSO4;;2.96;136.1416;;;;;32;0;
253;;CaWO3;;6.06;271.9282;;;;;26;0;
255;;CeF3;;6.16;197.1152;;;;;30;0;
257;;CeO2;;7.2;172.1188;;;;;21;0;
259;;CrCl2;;2.88;122.902;;;;;20;0;
261;;Cr2O3;;5.21;151.9902;;;;;30;0;
263;;CoCl2;;3.36;129.839;;;;;23;0;
250;;CaSiO3;;2.91;116.1642;;;;;24;0;
252;;CaS;;2.18;72.144;;;;;8;0;
254;;CeCl3;;3.92;246.479;;;;;30;0;
256;;Ce2O3;;7;328.2382;;;;;36;0;
258;;Ce2S3;;5.02;376.432;;;;;36;0;
260;;CrCl3;;2.76;158.355;;;;;27;0;
262;;CrO3;;2.7;99.9924;;;;;24;0;
264;;CoO;;6.7;74.9324;;;;;15;0;
265;;Co3O4;;6.07;240.7966;;;;;51;0;
267;;CuCl;;3.53;98.993;;;;;18;3.202;
269;;CuI;;5.62;190.444;;;;;18;2.95;
271;;CuO;;6.3;79.5394;;;;;17;0;
273;;GaCl3;;2.47;176.079;;;;;24;0;
275;;GeO;;4.7;104.5888;;;;;16;0;
277;;HfO2;;9.68;210.4888;;;;;16;0;
279;;InI;;5.31;241.724;;;;;10;0;
266;;CuBr;;4.72;143.449;;;;;18;2.96;
268;;CuCl2;;3.05;134.446;;;;;25;0;
270;;Cu2O;;6;143.0794;;;;;28;0;
272;;GaBr3;;3.69;309.447;;;;;24;0;
274;;Ga2O3;;6.48;187.4382;;;;;24;0;
276;;AuCl3;;3.9;303.326;;;;;32;0;
278;;InCl3;;3.46;221.179;;;;;24;0;
280;;In2S3;;4.9;307.204;;;;;24;0;
281;;ICl;;4.42;162.357;;;;;14;0;
283;;HIO3;;4.63;175.91017;;;;;26;0;
285;;IrF6;;6;306.1904;;;;;16;0;
287;;FeCl3;;2.8;162.206;;;;;29;0;
289;;Fe2O3;;5.24;159.6922;;;;;34;0;
291;;FeP;;6.07;86.8208;;;;;13;0;
293;;LaCl3;;3.84;245.269;;;;;24;0;
295;;Pb(C2H3O2)2;;3.25;325.28002;;;;;50;0;
282;;ICl3;;3.11;233.263;;;;;28;0;
284;;I2O5;;4.8;333.805;;;;;44;0;
286;;IrO2;;3.15;224.1988;;;;;21;0;
288;;FeCl2;;2.98;126.753;;;;;22;0;
290;;Fe3O4;;5.18;231.5386;;;;;48;0;
292;;FeS;;4.84;87.911;;;;;14;0;
294;;La2O3;;6.51;325.8182;;;;;24;0;
296;;PbCO3;;6.5;267.19935;;;;;26;0;
297;;PbCl2;;0.67;278.096;;;;;18;0;
299;;PbF2;;8.24;245.1868;;;;;18;0;
301;;Pb(NO3)2;;4.53;331.1998;;;;;50;0;
303;;Pb3O4;;9.1;685.5676;;;;;36;0;
305;;PbSO4;;6.2;303.2516;;;;;34;0;
307;;LiAlH4;;0.92;37.95238;;;;;8;0;
309;;LiBr;;3.46;86.848;;;;;8;0;
311;;LiCl;;2.07;42.392;;;;;8;0;
298;;PbCrO4;;6.3;323.1836;;;;;34;0;
300;;PbI2;;6.16;460.998;;;;;18;0;
302;;PbO;;9.53;223.1894;;;;;10;0;
304;;PbO2;;9.4;239.1888;;;;;16;0;
306;;PbS;;7.58;239.254;;;;;10;37;
308;;LiBH4;;0.66;21.78188;;;;;8;0;
310;;Li2CO3;;2.11;73.88735;;;;;23;0;
312;;LiF;;0.12;25.9374;;;;;8;11.8;
313;;LiH;;0.78;7.94697;;;;;2;0;
315;;LiNO3;;2.38;68.9439;;;;;24;0;
317;;Li3PO4;;2.54;115.7884;;;;;32;0;
319;;MgBr2;;3.72;184.13;;;;;16;0;
321;;MgCl2;;2.32;95.218;;;;;16;0;
323;;MgO;;3.58;40.3114;;;;;8;0;
325;;MnCO3;;3.13;114.94735;;;;;29;0;
327;;MnO;;5.45;70.9374;;;;;13;0;
314;;LiI;;0.78;133.843;;;;;8;0;
316;;Li2O;;2.02;29.8774;;;;;8;0;
318;;Li2SO4;;2.22;109.9396;;;;;32;0;
320;;MgCO3;;3.04;84.32135;;;;;24;0;
322;;MgF2;;2.97;62.3088;;;;;16;0;
324;;MgSO4;;2.65;120.3736;;;;;32;0;
326;;MnCl2;;2.98;125.844;;;;;21;0;
328;;Mn3O4;;4.86;228.8116;;;;;45;0;
329;;MnO2;;5.03;86.9368;;;;;19;0;
331;;MnSO4;;3.25;150.9996;;;;;37;0;
333;;HgBr2;;6.11;360.408;;;;;26;0;
335;;HgCl2;;5.44;271.496;;;;;26;0;
337;;Hg(CN)2;;3.99;252.6257;;;;;21;0;
339;;HgO;;11.1;216.5894;;;;;18;0;
341;;Hg2SO4;;7.56;497.2416;;;;;54;0;
343;;MoO3;;4.5;143.9382;;;;;24;0;
330;;Mn2O3;;4.5;157.8742;;;;;32;0;
332;;MnS;;3.99;87.002;;;;;13;0;
334;;HgBr;;7.31;280.499;;;;;19;0;
336;;HgCl;;7.16;236.043;;;;;19;0;
338;;HgI2;;6.28;454.398;;;;;26;0;
